id,name,latitude,longitude,type,image,description
1,Kopiec Kraka,50.039449,19.958277,viewpoint,kraka,"W czasach przedchrzeœcijañskich kopiec by³ miejscem obrzêdów s³owiañskich, obecnie poza œwiêtami rodzimowierczymi jest miejscem œwiêtowania Rêkawki – tradycyjnego krakowskiego zwyczaju wielkanocnego."
2,Park Bednarskiego,50.041007,19.948509,park,bednarskiego,"Zabytkowy park miejski usytuowany w miejscu dawnego kamienio³omu, po przejœciu prac rewitalizacyjnych w 2023 roku jest œwietnym miejscem wypoczynkowym."
3,Opactwo Benedyktynów w Tyñcu,50.020178,19.801761,architecture,tyniec,"Biegn¹cy wa³ami szlak Wiœlanej Trasy Rowerowej ³¹czy Zamek Królewski na Wawelu z prawie tysi¹cletnim, najstarszym polskim klasztorem, jakim jest Opactwo Benedyktynów w Tyñcu."
4,Zakrzówek,50.039886,19.911505,lake,zakrzowek,"Zagospodarowany obszar dawnego wapiennego kamienio³omu, obecnie ogólnodostêpny z licznymi alejkami oraz funkcjonuj¹cym w okresie letnim strze¿onym k¹pieliskiem."
5,Bagry,50.033836,19.993891,lake,bagry,"Zbiornik wodny z ogólnodostêpn¹ pla¿¹, wypo¿yczalniami sprzêtu wodnego i trzema przystaniami wodnymi klubów ¿eglarskich."
6,Zamek Niepo³omice,50.033859,20.217528,architecture,niepolomice,"Zamek królewski z po³owy XIV wieku w Niepo³omicach, który z centrum Krakowa ³¹czy szlak Wiœlanej Trasy Rowerowej."
7,Kopiec Koœciuszki,50.054734,19.892585,viewpoint,kosciuszki,"Od œmierci Tadeusza Koœciuszki w 1817 roku wzrasta³ jego kult jako bohatera narodowego, w efekcie czego wzniesiono kopiec, obecnie do kopca przylega równie¿ muzeum koœciuszkowskie, wstêp zarówno do muzeum, jak i na sam kopiec jest p³atny."
8,Polana na Sikorniku,50.057522,19.875447,viewpoint,sikornik,"Polana na Sikorniku znajduje siê na trasie pomiêdzy Kopcem Koœciuszki a Kopcem Pi³sudskiego, w pogodny dzieñ roztacza siê z niej widok nawet na same Tatry."
9,Kopiec Pi³sudskiego,50.060095,19.848443,viewpoint,pilsudskiego,"Z wysokoœci¹ 35 metrów i z dat¹ powstania na pocz¹tku XX wieku Kopiec Pi³sudskiego jest zarazem najwy¿szym i najm³odszym krakowskim kopcem, jako symbol walki o niepodleg³oœæ, zosta³y w nim z³o¿one ziemie z wszystkich pól bitw I Wojny Œwiatowej, w których walczyli Polacy."
10,Park Jordana,50.062935,19.916568,park,jordana,"Jedno z najpopularniejszych miejsc do podejmowania aktywnoœci sportowej na œwie¿ym powietrzu, znajduj¹ siê w nim liczne place zabaw, boiska sportowe, mini skate park, zewnêtrzne si³ownie oraz zbiornik wodny ze stref¹ zabaw dla dzieci."
11,Kopiec Wandy,50.070439,20.068373,viewpoint,wandy,"Najmniej zbadany krakowski kopiec, powsta³y prawdopodobnie oko³o VII/VIII wieku, wraz z Kopcem Kraka i innymi obecnie zburzonymi kopcami móg³ pe³niæ funkcje religijne, rytualne, obserwacyjne i grzebalne."
12,£¹ki Nowohuckie,50.064556,20.03484,meadow,laki_nowohuckie,"Powsta³y w starym korycie Wis³y u¿ytek ekologiczny, uznany za obszar Natura 2000, bêd¹cy jednym z najbogatszych przyrodniczo terenów w Krakowie."
13,Park Lotników,50.071336,19.993437,park,lotnikow,"Park mieszcz¹cy siê w miejscu dawnego fortu, obecnie zrewitalizowany i dobrze zagospodarowany teren, na którym znajduje siê równie¿ Ogród Doœwiadczeñ."
14,Zalew Nowohucki,50.079474,20.053531,park,zalew_nowohucki,"Park ze sztucznym stawem bêd¹cy jednym z g³ównych miejsc rekreacyjnych w Nowej Hucie, w 2023 roku zakoñczy³y siê prace rewitalizacyjne tworz¹ce miejsca do odpoczynku i przestrzeñ dla dzieci."
15,Punkt Widokowy Witkiewicza,50.088363,19.867973,viewpoint,widokowy_wickiewicza,"Bêd¹cy elementem szlaku Twierdzy Kraków, punkt widokowy przy krzy¿u pod lipk¹, z którego roztacza siê widok na miasto."
16,Dolina Grzybowska,50.100524,19.787085,forest,grzybowska,"Niewielka dolina le¿¹ca na terenie Tenczyñskiego Parku Krajobrazowego, o ca³kowitym przewy¿szeniu równym 253 metry."
17,M³ynówka Królewska,50.078733,19.860649,park,mlynowka,"Najd³u¿szy park w Polsce, powsta³y w 2009 roku w sztucznym korycie rzeki Rudawy, ma d³ugoœæ a¿ 8 kilometrów."
18,Park Decjusza,50.065109,19.872735,park,willa_decjusza,"Zosta³ za³o¿ony w 1535 roku jako miejsce do wypoczynku dla Justa Ludwika Decjusza, sekretarza króla Zygmunta Starego, jest to najstarszy krakowski park, na jego terenie znajduj¹ siê liczne rzeŸby autorstwa Bronis³awa Chromego."
19,B³onia,50.059575,19.910604,meadow,blonia,"Osi¹gaj¹c powierzchniê 48 ha, B³onia s¹ uznawane za najwiêksz¹ w Europie miejsk¹ ³¹kê, by³y miejscem wielu wydarzeñ historycznych takich jak start pierwszego samolotu w Krakowie."
20,Bulwary Wiœlane,50.051491,19.934441,park,bulwary,"Bulwary Wiœlane biegn¹ wzd³u¿ zabytkowej czêœci miasta, w tym pod Zamkiem Królewskim na Wawelu, prowadzi nimi Wiœlana Trasa Rowerowa, bêd¹ca czêœci¹ europejskiej drogi rowerowej EuroVelo 4."
21,Las Witkowice,50.109658,19.954432,forest,las_witkowice,"Park leœny chroniony od 2010 roku jako u¿ytek ekologiczny, prowadz¹ nim dwa szlaki rowerowe oraz pieszo-rowerowy szlak Twierdzy Kraków."
22,Kopalnia I³ow Zes³awice,50.101881,20.044089,mine,zeslawice,"Teren dawnej kopalni i³ów jest obecnie niezagospodarowany i pozostawiony w stanie dzikim, od po³udniowej strony przylega do niego Fort 49a D³ubnia."
23,Kamienio³om Liban,50.037529,19.955461,mine,liban,"Nieczynny kamienio³om wapnia, gdzie obecnie mo¿na zobaczyæ pozosta³oœci dekoracji do filmu Lista Schindlera, podczas II Wojny Œwiatowej do pracy przymusowej w kamienio³omie byli wykorzystywani  wiêŸniowie Obozu P³aszów."
24,Bia³e Morza,50.009303,19.937929,meadow,biale_morza,"Poprzemys³owy teren, obecnie poddany rekultywacji w celu usuniêcia soli sodu i wapnia z g³êbszych warstw gleby, w przysz³oœci mo¿e tu powstaæ ogólnodostêpny park miejski."
25,Przylasek Rusiecki,50.047835,20.160256,lake,przylasek_rusiecki,"Teren obejmuj¹cy kilkanaœcie zbiorników wodnych, w obszarze jednego zbiornika znajduje siê pla¿a i k¹pielisko oraz ci¹g pomostów o prawie kilometrowej d³ugoœci, w przysz³oœci na ca³ym terenie ma powstaæ park rzeczny."
26,Brzegi,50.032701,20.087243,lake,brzegi,"Obszar kilku jezior powsta³ych po wydobyciu ¿wiru i piasku, na których terenie znajduje siê kilka dzikich k¹pielisk oraz jedno k¹pielisko zagospodarowane i strze¿one."
27,Zamek Tenczyn,50.102872,19.580396,architecture,tenczyn,"Ruiny zamku wybudowanego na wygas³ym sto¿ku wulkanicznym w XIV wieku stanowi¹cego czêœæ szlaku Orlich Gniazd, z zamkiem zwi¹zanych jest wiele legend, z uwagi na prace konserwatorskie obecnie jest on otwarty dla zwiedzaj¹cych w weekendy i œwiêta."
28,Wzgórze Kaim,50.001491,20.037222,viewpoint,kaim,"Wzgórze o wysokoœci 265 m n.p.m., na którego szczycie znajduje siê obelisk upamiêtniaj¹cy odparcie ataku na Kraków wojsk rosyjskich przez wojska austriackie podczas I Wojny Œwiatowej."
29,Ska³a Kmity,50.10134,19.811266,viewpoint,skala_kmity,"Rezerwat Ska³y Kmity stanowi fragment Tenczyñskiego Parku Krajobrazowego, zgodnie z legend¹ ze Ska³y Kmity mia³ rzuciæ siê rycerz Stanis³aw Kmita powodowany niespe³nion¹ mi³oœci¹ do Olimpii Bonerówny. "
30,Dolina Brzoskwinki,50.087925,19.72536,forest,brzoskwinki,"D³uga na oko³o 4 kilometry dolina z licznymi ska³kami wapiennymi, wykorzystywanymi czêsto do wspinaczki sportowej oraz punktami widokowymi, sk¹d przy dobrej pogodzie mo¿na dostrzec Tatry."
31,Las Wolski,50.051339,19.840047,forest,wolski,"Na terenie lasu znajduj¹ siê wapienne ska³ki i jaskinie oraz sieæ œcie¿ek o ³¹cznej d³ugoœci oko³o 40 kilometrów, usytuowany jest tu równie¿ Kopiec Pi³sudskiego oraz krakowskie zoo."
32,Ojców,50.209603,19.828221,forest,ojcow,"Jest to najmniejszy polski park narodowy, jednak na jego terenie mo¿na znaleŸæ a¿ 700 jaskiñ, w tym jaskinie ze œladami bytowania ludzi prehistorycznych, dwa zamki, liczne ska³y oraz muzeum."
33,Dolina Kobylañska,50.165784,19.76302,forest,kobylanska,"Dolinka podkrakowska, wyró¿niaj¹ca siê przestronn¹ polan¹ przy wejœciu, bêd¹ca jednym z najpopularniejszych rejonów wspinaczkowych w Polsce. "
34,Dolina Bolechowicka,50.16046,19.7836,forest,bolechowicka,"D³uga na jedynie 1,5 kilometra podkrakowska dolinka, maj¹ca jednak wiele walorów widokowych, wejœcie do dolinki tworzy Brama Bolechowicka, dalej znajduj¹ siê ³¹ki, które nastêpnie przechodz¹ w zalesiony parów."
35,Dolina Bêdkowska,50.179507,19.750295,forest,bedkowska,"Z d³ugoœci¹ równ¹ oko³o 7 kilometrów, jest jedn¹ z najd³u¿szych dolinek podkrakowskich, w jej zbocza wcina siê wiele pobocznych w¹wozów, ska³ i jaskiñ, w odró¿nieniu od innych dolinek w okolicy jej dnem biegnie asfaltowa droga."
36,Dolina Rac³awki,50.175626,19.672353,forest,raclawki,"Rozci¹gaj¹ca siê a¿ na 9 kilometrów d³ugoœci, dolinka znajduje siê na terenie najwiêkszego ma³opolskiego rezerwatu przyrody, na jej terenie mo¿na znaleŸæ Kopalniê Odkrywkow¹ Dolomitu Dubie oraz kilka nieczynnych ju¿ kamienio³omów."
